project	method	n_deg_untrimmed	n_deg_trimmed	deg_jaccard	deg_gained	deg_lost	rho_log2fc	rho_top50_rank	n_path_untrimmed	n_path_trimmed	path_jaccard	rho_nes	dir_concordance
PRJNA838478	P35	713	110	0.06883116883116883	57	660	0.6949308665343004	0.2665898314558103	20	46	0.40425531914893614	0.8893637454981992	1.0
PRJNA876028	A	1163	1163	1.0	0	0	0.9999741754111966	0.9999999999999999	23	26	0.8148148148148148	0.9910684273709482	1.0
PRJNA876028	P5	1163	1164	0.9991408934707904	1	0	0.9998043272855048	0.9999999999999999	23	27	0.8518518518518519	0.9912605042016807	1.0
PRJNA876028	P10	1163	1164	0.9991408934707904	1	0	0.9998043272430366	0.9999999999999999	23	26	0.8846153846153846	0.9923169267707082	1.0
PRJNA876028	P20	1163	1371	0.7933474876150035	250	42	0.9479793114499611	0.9952941176470588	23	29	0.6774193548387096	0.9604321728691476	1.0
PRJNA876028	P35	1163	40788	0.02446946201372439	39786	161	0.019900502165543465	-0.23822328931572626	23	49	0.46938775510204084	0.23399759903961587	0.2
PRJNA903521	A	11389	11413	0.9879686137750654	81	57	0.9968833375312854	0.8106122448979592	28	31	0.9032258064516129	0.9973109243697478	1.0
PRJNA903521	P5	11389	11412	0.9877081335541801	82	59	0.9967154775097699	0.8511404561824729	28	31	0.9032258064516129	0.997406962785114	1.0
PRJNA903521	P10	11389	11387	0.9786291373468856	122	124	0.9884464312452349	0.7967827130852341	28	31	0.9032258064516129	0.9962545018007202	1.0
PRJNA903521	P20	11389	12115	0.8725302740599108	1163	437	0.8568081359532229	0.7396398559423769	28	41	0.6829268292682927	0.9929891956782712	1.0
PRJNA903521	P35	11389	48477	0.2319120915301671	37207	119	0.2825930453219566	-0.15025210084033613	28	50	0.56	-0.1936614645858343	0.35
PRJNA976462	A	11182	11226	0.9746210786041594	166	122	0.9965016896634425	0.9834813925570227	41	41	1.0	0.9993277310924369	1.0
PRJNA976462	P5	11182	11231	0.9750616848783926	166	117	0.9964943555687018	0.9820408163265306	41	41	1.0	0.996734693877551	1.0
PRJNA976462	P10	11182	11223	0.974530712963779	165	124	0.9957737567551583	0.9836734693877551	41	41	1.0	0.9993277310924369	1.0
PRJNA976462	P20	11182	10247	0.8262314641213567	552	1487	0.8748032873840158	0.07082833133253301	41	44	0.8888888888888888	0.9965426170468188	1.0
PRJNA976462	P35	11182	0	0.0	0	11182	-0.025103776489670864	-0.04240096038415366	41	50	0.82	-0.0823529411764706	0.4
PRJNA987832	A	2601	2600	0.9996155324875048	0	1	0.9988167254530202	0.9999999999999999	44	44	1.0	0.9971188475390156	1.0
PRJNA987832	P5	2601	1555	0.577828397873956	33	1079	0.9982487633767377	0.7385834333733493	44	45	0.9777777777777777	0.991452581032413	1.0
PRJNA987832	P10	2601	1295	0.47855787476280837	34	1340	0.9988337492100527	0.7243697478991596	44	46	0.9565217391304348	0.9875150060024009	1.0
PRJNA987832	P20	2601	1684	0.6072768192048013	65	982	0.9984168985097206	0.727250900360144	44	44	0.9555555555555556	0.9947178871548619	1.0
PRJNA987832	P35	2601	2375	0.5687263556116016	571	797	0.7260725765403838	0.5251860744297718	44	46	0.9565217391304348	0.9787755102040816	1.0
